id,designation
K01,J063259.37+045622.5
K02,J035358.25+465351.8
K03,J032910.40+312159.2
K04,J063337.49+044847.0
K05,J052314.90+374253.6
K06,J051502.46+364155.0
K07,J035447.92+445619.6
K08,J055554.66+284706.3
K09,J063129.76+045449.1
K10,J063241.74+045338.4
K11,J060559.66+280247.7
K12,J044927.22+450443.8
K13,J051427.40+324756.8
K14,J051214.46+411300.8
K15,J063354.40+043935.2
K16,J070534.82+142831.7
K17,J063259.01+054756.6
K18,J151811.89+313849.2
K19,J054853.75+290801.7
K20,J075704.21+025655.6
K21,J062404.17+252508.1
K22,J044440.68+503202.1
K23,J065513.76+052554.4
L001,J043131.26+475750.7
L002,J043953.63+540146.1
L003,J062753.84+003329.1
L004,J054520.88+290928.1
L005,J052948.83+373100.0
L006,J050543.34+353110.7
L007,J063131.81+053051.7
L008,J044324.22+542816.5
L009,J054538.09+185753.7
L010,J064433.60+045757.7
L011,J045518.02+413721.8
L012,J050047.41+225152.7
L013,J050615.75+345709.6
L014,J063801.25+022452.5
L015,J064724.30+050527.0
L016,J045617.15+405946.7
L017,J062531.59+200550.4
L018,J044721.48+400803.2
L019,J050223.41+402819.6
L020,J063202.58+050508.6
L021,J060545.79+284550.0
L022,J065802.15+121149.3
L023,J055818.39+315050.4
L024,J050819.25+412550.8
L025,J055336.52+401846.2
L026,J063630.59+120242.0
L027,J053201.66+363519.2
L028,J042105.03+502714.1
L029,J030705.71+520947.3
L030,J050523.31+410954.7
L031,J050035.47+355216.9
L032,J065029.43+063621.0
L033,J051832.07+375341.0
L034,J055855.07+275519.6
L035,J063706.61+050124.1
L036,J055339.78+284729.7
L037,J044926.39+395859.4
L038,J035803.39+470904.3
L039,J054012.81+413340.5
L040,J055812.34+274333.7
L041,J025952.14+541513.9
L042,J050027.87+415318.7
L043,J063726.90+055553.2
L044,J050815.63+434714.1
L045,J062652.44+414955.7
L046,J051658.56+391250.9
L047,J051647.64+342512.9
L048,J055429.25+304437.3
L049,J063929.32+113207.0
L050,J055958.47+125614.9
L051,J030027.66+540005.1
L052,J055304.96+252606.6
L053,J044320.66+475438.5
L054,J055546.16+305126.4
L055,J065348.11+074415.7
L056,J051841.29+374030.0
L057,J052218.44+332821.1
L058,J055056.52+293722.3
L059,J065728.90+075920.1
L060,J050119.14+431621.9
L061,J045044.35+394250.1
L062,J064845.66+115640.7
L063,J050405.13+384836.3
L064,J064016.95+050851.4
L065,J053304.15+384300.9
L066,J055413.96+370610.2
L067,J052207.41+335258.5
L068,J060600.90+322044.9
L069,J065025.97+113923.4
L070,J040251.79+470328.9
L071,J064056.90+115646.4
L072,J045718.57+341617.9
L073,J063508.30+170152.4
L074,J054502.07+395444.0
L075,J044741.74+444018.0
L076,J051653.35+342959.9
L077,J063315.58+214312.1
L078,J045207.73+524133.9
L079,J052021.77+391925.9
L080,J054016.18+411848.8
L081,J052836.88+341825.2
L082,J040258.19+490744.9
L083,J064828.29+050729.9
L084,J063224.10+042558.2
L085,J025104.45+553018.0
